track,before_hf_band_db,after_hf_band_db,delta_hf_band_db,before_hpss_ratio,after_hpss_ratio,delta_hpss_ratio,log_mel_distance,OK_HFband,OK_HPSS,OK_LogMel,OK_count,criteri_ok,Verdetto
track_1,35.113,31.57,-3.544,5.322,6.742,1.42,0.796,True,True,False,2,2/3,OK
track_2,-1.968,-8.142,-6.174,105.813,115.118,9.305,0.438,True,True,False,2,2/3,OK
track_3,30.753,24.044,-6.709,12.364,13.379,1.015,0.449,True,True,False,2,2/3,OK
track_4,25.169,20.368,-4.802,143.98,144.998,1.019,0.428,True,True,False,2,2/3,OK
track_5,-7.487,-12.823,-5.336,92.6,97.561,4.961,0.489,True,True,False,2,2/3,OK
