track,before_hf_band_db,after_hf_band_db,delta_hf_band_db,before_hpss_ratio,after_hpss_ratio,delta_hpss_ratio,log_mel_distance,OK_HFband,OK_HPSS,OK_LogMel,OK_count,criteri_ok,Verdetto
track_1,35.113,34.301,-0.812,5.322,5.326,0.003,0.168,True,True,True,3,3/3,OK
track_2,-1.968,-5.409,-3.441,105.813,105.814,0.001,0.169,True,True,True,3,3/3,OK
track_3,30.753,24.0,-6.752,12.364,12.464,0.1,0.177,True,True,True,3,3/3,OK
track_4,25.169,18.588,-6.581,143.98,144.094,0.114,0.179,True,True,True,3,3/3,OK
track_5,-7.487,-9.768,-2.281,92.6,92.6,0.0,0.174,True,True,True,3,3/3,OK
