track,before_hf_band_db,after_hf_band_db,delta_hf_band_db,before_hpss_ratio,after_hpss_ratio,delta_hpss_ratio,log_mel_distance,OK_HFband,OK_HPSS,OK_LogMel,OK_count,criteri_ok,Verdetto
track_1,35.113,34.074,-1.039,5.322,5.328,0.006,0.049,True,True,True,3,3/3,OK
track_2,-1.968,-3.234,-1.266,105.813,105.814,0.001,0.047,True,True,True,3,3/3,OK
track_3,30.753,29.768,-0.984,12.364,12.397,0.033,0.026,True,True,True,3,3/3,OK
track_4,25.169,23.469,-1.7,143.98,144.051,0.071,0.045,True,True,True,3,3/3,OK
track_5,-7.487,-9.069,-1.581,92.6,92.6,0.0,0.057,True,True,True,3,3/3,OK
